epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.013341220872191,0.9593505140853255,0.502283105022831,0.7077625570776256
2,0.8952405934199916,0.8616295606578321,0.5296803652968036,0.7945205479452054
3,0.7930545907298638,0.7678324302581891,0.589041095890411,0.8767123287671232
4,0.7283309983898187,0.733786579408602,0.5616438356164384,0.9223744292237442
5,0.6904146382927122,0.708112734365681,0.589041095890411,0.9360730593607306
6,0.6502422266850976,0.6973609807284455,0.6073059360730594,0.9680365296803652
7,0.6244458203439321,0.7071766001448784,0.5707762557077626,0.9771689497716894
8,0.6023842168420747,0.7379946640637367,0.547945205479452,0.9817351598173516
9,0.5901002796370833,0.7035634044098528,0.5981735159817352,0.9908675799086758
10,0.5831853081804115,0.704274352282694,0.6210045662100456,0.9954337899543378
11,0.5530610689591641,0.7121790892457309,0.6073059360730594,0.9954337899543378
12,0.5319816589870412,0.7484608213651126,0.5707762557077626,0.9954337899543378
13,0.5119123192379336,0.7664821409199336,0.5844748858447488,0.9954337899543378
14,0.4877023218002484,0.799006172238964,0.54337899543379,0.9954337899543378
