epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9926515359265284,0.9001269340515137,0.7327586206896551,0.7931034482758621
2,0.8967374851071616,0.888952779358831,0.5,0.8448275862068966
3,0.7960304187664523,0.941333610436012,0.5517241379310345,0.8362068965517241
4,0.6928804277435062,0.9917539604778948,0.6724137931034483,0.8362068965517241
5,0.5730706177984323,1.1574171000513538,0.6551724137931034,0.853448275862069
6,0.5014325810542569,1.0393209375184158,0.6551724137931034,0.8275862068965517
7,0.4233445611212823,1.3397100218411149,0.646551724137931,0.8362068965517241
8,0.38536167215174577,1.3195404759768783,0.6551724137931034,0.853448275862069
9,0.34401069780973,1.7049120952343118,0.6120689655172413,0.8448275862068966
10,0.33700691230028007,1.6173697422290672,0.6551724137931034,0.8448275862068966
