epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.0160267376230294,0.9576932208178794,0.5159817351598174,0.7579908675799086
2,0.8960611936083108,0.8488293935174811,0.5388127853881278,0.8036529680365296
3,0.7919377495351672,0.7668742058483977,0.5799086757990868,0.8767123287671232
4,0.715374052395831,0.7186898186326571,0.6073059360730594,0.9178082191780822
5,0.6688414198018562,0.718739020769999,0.5616438356164384,0.9452054794520548
6,0.627770853995247,0.693529726707772,0.5981735159817352,0.958904109589041
7,0.6073552818071765,0.718054312277058,0.5753424657534246,0.9680365296803652
8,0.5670775653991534,0.7479986485825282,0.5662100456621004,0.9771689497716894
9,0.5676321059014833,0.7197763176813518,0.5844748858447488,0.9817351598173516
10,0.5447605093920977,0.7811498222830089,0.5570776255707762,0.9817351598173516
11,0.5146155849131343,0.7724807926508934,0.5662100456621004,0.9863013698630136
12,0.49375705803959724,0.8408462837950824,0.5707762557077626,0.9863013698630136
13,0.48817259382223205,0.8519629713607161,0.5525114155251142,0.9863013698630136
14,0.46123163662770394,0.8896177509059645,0.589041095890411,0.9863013698630136
