event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
positive_heavy&short_posts,284,0.004428547175343841,0.0034757378051122334,0.024052278982874105,0.5880281690140845,0.4119718309859155,long,0.5880281690140845,0.043885249977204645
has_action&pre_deal,52,0.008938855246430781,0.006800060562735966,0.021835704354621746,0.6730769230769231,0.3269230769230769,long,0.6730769230769231,0.04338586664321064
lots_of_excl&short_posts,382,0.0038191463636460914,0.003143279254631981,0.022323696330695714,0.581151832460733,0.418848167539267,long,0.581151832460733,0.043379804998775445
posts_high&short_posts,242,0.0048071059106531075,0.004089453928208808,0.025069004733066513,0.5785123966942148,0.4214876033057851,long,0.5785123966942148,0.043261746020242214
has_deal&pre_action,49,0.008851808053949478,0.00521681232652127,0.022224286384594255,0.6938775510204082,0.30612244897959184,long,0.6938775510204082,0.04299449626204032
has_russia&uppercase_phrase_heavy,29,0.010954390381555983,0.010124610591900396,0.020417287360839857,0.7241379310344828,0.27586206896551724,long,0.7241379310344828,0.042717763754956124
has_china&has_all_caps,86,0.006596174937223455,0.0086359378698454,0.02520494046824431,0.6976744186046512,0.3023255813953488,long,0.6976744186046512,0.042677030160949286
posts_high&deal_over_tariff,154,0.005780990012195323,0.002952127439939445,0.022080996215089785,0.5909090909090909,0.4090909090909091,long,0.5909090909090909,0.04239193601031802
attack_heavy&deal_over_tariff,102,0.007077554722596149,0.002952127439939445,0.021918814531747606,0.5882352941176471,0.4117647058823529,long,0.5882352941176471,0.04204694051316921
deal_over_tariff&volume_spike,51,0.00907136705973958,0.004823691816005837,0.025958567329569922,0.6470588235294118,0.35294117647058826,long,0.6470588235294118,0.041918100274581496
has_china&deal_over_tariff,97,0.007505201942261241,0.002660345528942676,0.025619067652942803,0.5670103092783505,0.4329896907216495,long,0.5670103092783505,0.04191207905845587
has_deal&uppercase_phrase_heavy,23,0.011134974087085693,0.009919206000942316,0.022044285339677942,0.782608695652174,0.21739130434782608,long,0.782608695652174,0.041792446751568915
pre_action&has_uppercase_phrase,29,0.011214932808761126,0.009487210850827266,0.02622337286846468,0.6896551724137931,0.3103448275862069,long,0.6896551724137931,0.04165121481111623
pre_action&has_night_post,47,0.009509022270919994,0.0051353510288811854,0.025858937714798958,0.6382978723404256,0.3617021276595745,long,0.6382978723404256,0.04161100358103104
has_night_post&deal_only,110,0.00661141367976956,0.003433227603377831,0.023237751742478968,0.6,0.4,long,0.6,0.04160465499753297
attack_heavy&pre_action,42,0.009199927329404318,0.006030519256021827,0.021042129502345033,0.6904761904761905,0.30952380952380953,long,0.6904761904761905,0.04116780858371176
short_posts&deal_over_tariff,118,0.0062367803704276616,0.003003212376710196,0.023013039165543082,0.6016949152542372,0.3983050847457627,long,0.6016949152542372,0.04076409411559767
has_attack&has_night_post,363,0.003626247729272959,0.003118199133763655,0.023041739808694683,0.5895316804407713,0.41046831955922863,long,0.5895316804407713,0.04073033017871077
has_deal&deal_over_tariff,252,0.004442647672286565,0.0018200056202533066,0.020129543883759603,0.5753968253968254,0.4246031746031746,long,0.5753968253968254,0.04057977216701865
short_posts,566,0.002922692275901806,0.0027761133941305305,0.021653133301921333,0.5812720848056537,0.41872791519434627,long,0.5812720848056537,0.04041762351417873
has_night_post&short_posts,258,0.004324567109168451,0.002164034479381738,0.023684086345670284,0.5813953488372093,0.4186046511627907,long,0.5813953488372093,0.04038536822201158
has_attack&deal_only,135,0.005709207774184562,0.0027014205300353034,0.020587179734511508,0.6074074074074074,0.3925925925925926,long,0.6074074074074074,0.040292370302561935
has_china&short_posts,142,0.005758352207154862,0.004522979139243155,0.027351483285095592,0.5845070422535211,0.4154929577464789,long,0.5845070422535211,0.04010810516203293
pre_action&volume_spike,21,0.012161779743869148,0.011044369237466878,0.026045531190845565,0.7142857142857143,0.2857142857142857,long,0.7142857142857143,0.039808768758329297
attack_heavy&uppercase_phrase_heavy,44,0.00878841472795221,0.00991720277379815,0.019876045904345573,0.6818181818181818,0.3181818181818182,long,0.6818181818181818,0.03974710111997837
has_action&has_russia,74,0.007114953664345186,0.0046170367257331035,0.020430036357104643,0.6486486486486487,0.35135135135135137,long,0.6486486486486487,0.03970063503608699
attack_heavy&has_night_post,202,0.004617731005675405,0.003433227603377831,0.02146262689930582,0.6039603960396039,0.39603960396039606,long,0.6039603960396039,0.03963809521338151
has_all_caps&has_exclamation,184,0.004672383815288422,0.006324053053908263,0.02313015962441867,0.625,0.375,long,0.625,0.03961206105387488
has_attack&volume_spike,122,0.005594351875699281,0.005878473720887567,0.027063638471710966,0.639344262295082,0.36065573770491804,long,0.639344262295082,0.039506128013882195
posts_very_high&has_all_caps,92,0.00616818563051842,0.009254709203635136,0.027206906297792415,0.6630434782608695,0.33695652173913043,long,0.6630434782608695,0.0392277461825559
has_relief&has_russia,33,0.010189559081482124,0.006165421024002304,0.028478726379663657,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.03902304032278303
has_attack&tariff_only,109,0.005880539415220232,0.00466735692108089,0.0179690161678635,0.6330275229357798,0.3669724770642202,long,0.6330275229357798,0.038864493039921004
has_action&short_posts,104,0.006171861719537554,0.00394666577622671,0.027127238769466683,0.6153846153846154,0.38461538461538464,long,0.6153846153846154,0.03873285334537638
has_relief&has_uppercase_phrase,41,0.008762997477793112,0.006364823596145763,0.040475802624024615,0.6829268292682927,0.3170731707317073,long,0.6829268292682927,0.038319407882764875
has_relief&short_posts,46,0.008382401573257833,0.0065337188630102405,0.03622562125197774,0.6739130434782609,0.32608695652173914,long,0.6739130434782609,0.03831344824234769
posts_very_high&has_russia,122,0.00555638214890243,0.005011064801102916,0.0238811652047031,0.6229508196721312,0.3770491803278688,long,0.6229508196721312,0.03823189143926425
posts_high&has_all_caps,128,0.0052074600584602945,0.007674500754944247,0.025733288761251107,0.6484375,0.3515625,long,0.6484375,0.03820313957098946
has_action&has_attack,149,0.004998328900728515,0.004912602109220954,0.02459890239158758,0.6241610738255033,0.37583892617449666,long,0.6241610738255033,0.0380815524379857
posts_high&attack_heavy,230,0.004183440145452733,0.004335305621913088,0.021315637282011596,0.6,0.4,long,0.6,0.03806700666073557
deal_heavy&short_posts,67,0.0070751412289874124,0.005426925134006222,0.020798589500761213,0.6567164179104478,0.34328358208955223,long,0.6567164179104478,0.03803210719826226
