epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.0155623743137583,0.9519827142698035,0.5296803652968036,0.7579908675799086
2,0.8973097355782857,0.8474762529543002,0.6073059360730594,0.7990867579908676
3,0.7914963112279096,0.773575128485623,0.5342465753424658,0.863013698630137
4,0.7130852990480016,0.735822789200909,0.5799086757990868,0.9178082191780822
5,0.6667688602247712,0.7320037418848848,0.54337899543379,0.9406392694063926
6,0.6512015519852772,0.726809123607531,0.5570776255707762,0.958904109589041
7,0.6186314620415542,0.7300093663881903,0.5342465753424658,0.9726027397260274
8,0.5957442970049304,0.7211214543477585,0.5662100456621004,0.9863013698630136
9,0.5734981048699331,0.7373251988463205,0.5525114155251142,0.9908675799086758
10,0.5464639740937729,0.7410289852042177,0.5388127853881278,0.9908675799086758
11,0.5389384647939941,0.7475564912573932,0.593607305936073,0.9908675799086758
12,0.5377118848827436,0.740038240064769,0.593607305936073,0.9954337899543378
13,0.5029331110981061,0.7769220269978319,0.5844748858447488,0.9954337899543378
14,0.47165206029657153,0.7958489313517532,0.5753424657534246,0.9908675799086758
15,0.4635034025874045,0.7956480977197761,0.5525114155251142,0.9908675799086758
16,0.4565913952710047,0.8137539777581551,0.5844748858447488,0.9954337899543378
