epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.010767630351487,0.9448725179750093,0.5255102040816326,0.6683673469387755
2,0.8964763973348884,0.8756505980783579,0.4744897959183674,0.6938775510204082
3,0.8480597044831963,0.8618479918460457,0.46938775510204084,0.7551020408163265
4,0.8161677854035491,0.8556418954109659,0.4642857142857143,0.7653061224489796
5,0.7977199151951779,0.8545959166118077,0.4642857142857143,0.7653061224489796
6,0.7827289986354049,0.8671733554528684,0.5357142857142857,0.7857142857142857
7,0.7653547859960986,0.8634310729649602,0.4897959183673469,0.7653061224489796
8,0.7505241610670602,0.8624403087460265,0.47959183673469385,0.7806122448979592
9,0.7269255841931989,0.8677392942564828,0.45408163265306123,0.7857142857142857
10,0.7020191923264534,0.8939418233170802,0.5255102040816326,0.7755102040816326
11,0.6980679110814166,0.9200863132671434,0.5153061224489796,0.7755102040816326
12,0.6754294897920342,0.9232798182234472,0.5,0.7806122448979592
13,0.6611776405765164,1.0008040009712686,0.49489795918367346,0.7551020408163265
