event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&has_china,calm_bull,25,0.02175842426132594,0.006872737019570696,0.6,0.4
attack_heavy&has_china,neutral,79,0.007999197283881711,0.003366947072901194,0.5569620253164557,0.3924050632911392
attack_heavy&has_china,oversold,44,0.011765568719579305,0.01701080795711074,0.6590909090909091,0.2727272727272727
attack_heavy&has_china,risk_off,11,0.0017187820102423671,0.00349644514016334,0.5454545454545454,0.36363636363636365
attack_heavy&tariff_only,calm_bull,5,0.031047170763290444,0.02356898273597774,1.0,0.0
attack_heavy&tariff_only,neutral,8,-0.0031980658697057934,0.006422788950802172,0.625,0.375
attack_heavy&tariff_only,oversold,11,0.026983244691927546,0.024258847885848978,0.7272727272727273,0.18181818181818182
deal_heavy&deal_only,calm_bull,13,0.006447468642587879,0.005848063893409972,0.5384615384615384,0.46153846153846156
deal_heavy&deal_only,neutral,41,0.01763200436570243,0.007500083359712972,0.5609756097560976,0.34146341463414637
deal_heavy&deal_only,oversold,35,0.019150486863449317,0.021660664859286083,0.7142857142857143,0.2571428571428571
deal_heavy&deal_only,risk_off,8,0.04542592933827924,0.040579785010753544,1.0,0.0
deal_heavy&deal_over_tariff,calm_bull,20,0.0015997309241906565,0.004601915010629676,0.55,0.45
deal_heavy&deal_over_tariff,neutral,62,0.011818936187438393,0.0031292750489931853,0.532258064516129,0.3870967741935484
deal_heavy&deal_over_tariff,oversold,49,0.01669500236577202,0.019138758046619575,0.6938775510204082,0.2653061224489796
deal_heavy&deal_over_tariff,risk_off,9,0.04825261791797702,0.04782619933436627,1.0,0.0
deal_heavy&has_attack,calm_bull,13,0.0021930303609607204,-0.0033445426249951726,0.46153846153846156,0.5384615384615384
deal_heavy&has_attack,neutral,55,0.009648841016780044,0.0030118699031926877,0.5272727272727272,0.4
deal_heavy&has_attack,oversold,47,0.0133015254019544,0.013392843575153135,0.6382978723404256,0.2978723404255319
deal_heavy&has_attack,risk_off,10,0.024951764762434457,0.029378484138891547,0.8,0.2
deal_heavy&has_positive,calm_bull,20,0.0008752663731693644,5.611751427103684e-06,0.5,0.5
deal_heavy&has_positive,neutral,66,0.00989278766873878,0.0012754377629313751,0.5,0.3939393939393939
deal_heavy&has_positive,oversold,52,0.012713459465214776,0.011647044214332714,0.6346153846153846,0.3269230769230769
deal_heavy&has_positive,risk_off,12,0.026251542600604073,0.029378484138891547,0.75,0.25
deal_heavy&has_relief,calm_bull,8,0.011463021385916733,0.006747571192188384,0.625,0.375
deal_heavy&has_relief,neutral,13,0.02207305431403283,0.009771937252473828,0.6153846153846154,0.23076923076923078
deal_heavy&has_relief,oversold,13,0.013878036896769638,0.025547349791837703,0.6923076923076923,0.3076923076923077
deal_heavy&has_relief,risk_off,5,0.02108599059642673,0.025423597590642277,0.8,0.2
has_action&has_china,calm_bull,18,0.013024691033939995,0.0054525200278210395,0.6111111111111112,0.3888888888888889
has_action&has_china,neutral,38,0.012385633662144279,0.003210181512551258,0.5526315789473685,0.42105263157894735
has_action&has_china,oversold,31,0.014414674024327343,0.01570671278889768,0.6774193548387096,0.22580645161290322
has_action&has_china,risk_off,8,0.008683074957800449,0.0021276609992034734,0.5,0.375
has_attack&has_china,calm_bull,35,0.019106860849523215,0.004032303036071383,0.5714285714285714,0.42857142857142855
has_attack&has_china,neutral,118,0.009850821268485395,0.0033336109382609003,0.576271186440678,0.3728813559322034
has_attack&has_china,oversold,74,0.0072825202204132725,0.007575871793870204,0.6081081081081081,0.32432432432432434
has_attack&has_china,risk_off,20,0.0011028897162473905,0.006159918695854083,0.6,0.35
has_attack&pre_relief,neutral,16,0.023244975685163677,0.011413412342658025,0.75,0.25
