epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9814872266428886,0.9240749544567533,0.37222222222222223,0.7388888888888889
2,0.8659757129595026,0.871977338525984,0.4388888888888889,0.75
3,0.8298770336827992,0.871904366546207,0.35,0.75
4,0.8166233545979169,0.8536101261774699,0.35555555555555557,0.7666666666666667
5,0.794234780988453,0.8630036115646362,0.35,0.7722222222222223
6,0.7776036731254101,0.8674093405405681,0.37777777777777777,0.7666666666666667
7,0.7747959420166559,0.8709514949056837,0.48333333333333334,0.7722222222222223
8,0.7405444962693724,0.9137481556998359,0.45,0.7611111111111111
9,0.7314839312176323,0.938021781709459,0.4222222222222222,0.7555555555555555
10,0.7029133852967036,0.8842188914616903,0.5555555555555556,0.7722222222222223
11,0.6984572384469742,0.9572768688201905,0.5666666666666667,0.7666666666666667
12,0.6735899154615037,0.956345816453298,0.5222222222222223,0.7777777777777778
