event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
has_deal&has_iran,76,0.017556220306743836,0.008749042908736238,0.04812648988159118,0.631578947368421,0.35526315789473684,long,0.631578947368421,0.09666415597595752
has_attack&has_iran,91,0.015759538780067226,0.008685111648339294,0.048931097098651566,0.6373626373626373,0.34065934065934067,long,0.6373626373626373,0.09581881611387796
has_uppercase_phrase&deal_only,96,0.01512810684856593,0.012275269354666274,0.047623331576127796,0.6458333333333334,0.34375,long,0.6458333333333334,0.09572836826266633
has_uppercase_phrase&deal_over_tariff,116,0.014105680673478761,0.009381935848664202,0.045633467359435756,0.6293103448275862,0.3620689655172414,long,0.6293103448275862,0.09560660871508872
uppercase_phrase_heavy&deal_over_tariff,25,0.02655746286575071,0.016326650291985212,0.04439476610763507,0.68,0.32,long,0.68,0.09029537374355244
positive_heavy&has_iran,92,0.015353494979570146,0.007990190822404375,0.05044422151095883,0.6086956521739131,0.358695652173913,long,0.6086956521739131,0.08963990026301262
has_iran&deal_over_tariff,68,0.01660180033435479,0.008749042908736238,0.04708585324527603,0.6470588235294118,0.35294117647058826,long,0.6470588235294118,0.0885836164580651
has_iran&has_russia,57,0.019355662235646512,0.008627662367793443,0.05341054990689743,0.5964912280701754,0.40350877192982454,long,0.5964912280701754,0.08716648314002147
has_iran&deal_only,59,0.017497594656678793,0.007352719277015307,0.04706873191431791,0.6440677966101694,0.3559322033898305,long,0.6440677966101694,0.08656372613920199
has_iran,120,0.01283383035381811,0.006488042726289001,0.049950590691368396,0.5916666666666667,0.38333333333333336,long,0.5916666666666667,0.08318097754377145
has_deal&has_uppercase_phrase,134,0.012190076588026564,0.005988397499606113,0.04636836817835072,0.582089552238806,0.40298507462686567,long,0.582089552238806,0.08213885370455472
has_night_post&deal_over_tariff,284,0.008255200658728248,0.00507622410187869,0.045919783120428014,0.5704225352112676,0.40492957746478875,long,0.5704225352112676,0.07935667788455686
has_night_post&deal_only,245,0.008803529600154682,0.005089171697815864,0.047173942909605505,0.5714285714285714,0.4,long,0.5714285714285714,0.07874116251150966
lots_of_excl&deal_over_tariff,282,0.008248500650645191,0.004116269775186532,0.04535314574839494,0.5673758865248227,0.41134751773049644,long,0.5673758865248227,0.07859057051839156
has_attack&deal_over_tariff,233,0.008884310252179572,0.005063276505941516,0.046297008451520336,0.5793991416309013,0.3948497854077253,long,0.5793991416309013,0.07857411972700337
has_deal&has_attack,264,0.008548623599704631,0.0044959200752724415,0.0469316594553986,0.5643939393939394,0.4090909090909091,long,0.5643939393939394,0.07839358044080215
has_deal&has_night_post,323,0.007654113060778153,0.004048508561480091,0.04707516091901631,0.5541795665634675,0.42105263157894735,long,0.5541795665634675,0.0762336375221888
lots_of_excl&deal_only,241,0.008634350945495702,0.0039139896726927415,0.04680773928036108,0.5643153526970954,0.4107883817427386,long,0.5643153526970954,0.07564149151647417
has_attack&deal_only,199,0.009138876506145971,0.005063276505941516,0.04802305511140623,0.5778894472361809,0.39195979899497485,long,0.5778894472361809,0.07450134458613997
has_deal&short_posts,170,0.009412239652406248,0.0055915764632819,0.04562742997944265,0.5823529411764706,0.38235294117647056,long,0.5823529411764706,0.07146669697236172
has_deal&uppercase_phrase_heavy,29,0.02121367048348639,0.01107775355625873,0.044604891911411794,0.6206896551724138,0.3448275862068966,long,0.6206896551724138,0.07090703485933587
deal_heavy&has_uppercase_phrase,64,0.014442960925335847,0.005809542534482293,0.050464157751815196,0.609375,0.375,long,0.609375,0.07040943451101225
has_positive&deal_only,254,0.00785383120892888,0.003981249117086416,0.04677837111269895,0.5551181102362205,0.421259842519685,long,0.5551181102362205,0.06948384098310911
has_attack&short_posts,303,0.0067737310211547835,0.005102041140286451,0.04138335188302943,0.5775577557755776,0.38943894389438943,long,0.5775577557755776,0.06809961891926267
has_china&has_iran,43,0.017044304365451023,0.009538856427113496,0.05552480039984119,0.6046511627906976,0.37209302325581395,long,0.6046511627906976,0.06758003324917139
posts_very_high&uppercase_phrase_heavy,37,0.01661670646045877,0.01107775355625873,0.05312736418050851,0.6486486486486487,0.32432432432432434,long,0.6486486486486487,0.06556247314679543
positive_heavy&deal_over_tariff,242,0.007606686260443325,0.0039100838197538845,0.04734361003355213,0.5537190082644629,0.4256198347107438,long,0.5537190082644629,0.06552282587034675
has_attack&uppercase_phrase_heavy,42,0.01632495117038916,0.008029098510095811,0.05031559260744633,0.6190476190476191,0.35714285714285715,long,0.6190476190476191,0.06549386099252413
deal_heavy&deal_over_tariff,133,0.009427854998166866,0.0057251833645062256,0.04364612762295032,0.6015037593984962,0.38345864661654133,long,0.6015037593984962,0.06539989648110635
has_action&deal_only,70,0.012702361587117525,0.006488042726289001,0.04892144274992679,0.6142857142857143,0.35714285714285715,long,0.6142857142857143,0.06528357169264234
deal_heavy&deal_only,90,0.011250102578804322,0.005917295165462022,0.046887944600926657,0.6111111111111112,0.36666666666666664,long,0.6111111111111112,0.06522257144251857
positive_heavy&deal_only,201,0.008329226360777762,0.0039061779668150276,0.04933632378968885,0.5522388059701493,0.4228855721393035,long,0.5522388059701493,0.06521231459745994
has_attack&sig_potus,50,0.013534401389265559,0.008287307340702377,0.031611182828559445,0.68,0.3,long,0.68,0.06507781561122208
deal_heavy&has_iran,42,0.015378203407917243,0.011636508302756088,0.04192839788569332,0.6428571428571429,0.3333333333333333,long,0.6428571428571429,0.0640685241604824
has_russia&uppercase_phrase_heavy,24,0.01825097425002387,0.01370220192412197,0.030239946488186127,0.7083333333333334,0.2916666666666667,long,0.7083333333333334,0.06333289681341395
positive_heavy&uppercase_phrase_heavy,38,0.016797972035175704,0.008029098510095811,0.05068295529865716,0.6052631578947368,0.34210526315789475,long,0.6052631578947368,0.06267479060020323
has_action&deal_over_tariff,86,0.01110772730785106,0.005988397499606113,0.04757288498355138,0.6046511627906976,0.37209302325581395,long,0.6046511627906976,0.062284406058843424
deal_only&volume_spike,53,0.014167509259449249,0.006036106372746541,0.04149774837488599,0.6037735849056604,0.33962264150943394,long,0.6037735849056604,0.06227382597203911
posts_high&has_deal,218,0.007467354884208237,0.003981249117086416,0.04541459058517958,0.5596330275229358,0.41284403669724773,long,0.5596330275229358,0.061701876965060194
posts_high&deal_heavy,107,0.009956333489514945,0.00589390170445836,0.04434542390982773,0.5981308411214953,0.37383177570093457,long,0.5981308411214953,0.06160096564109721
positive_heavy&volume_drop,50,0.015016109865136613,0.011467213189112813,0.03968681239415814,0.58,0.38,long,0.58,0.06158436005354581
deal_heavy&uppercase_phrase_heavy,22,0.02208134130536432,0.008401468460382477,0.04843620660487138,0.5909090909090909,0.36363636363636365,long,0.5909090909090909,0.06120085119715325
posts_high&deal_over_tariff,189,0.007705190904045371,0.005063276505941516,0.04467844710640207,0.5767195767195767,0.3968253968253968,long,0.5767195767195767,0.061091248273717015
short_posts&deal_only,147,0.00851870720915854,0.005242464300098115,0.04465515794305091,0.5850340136054422,0.3741496598639456,long,0.5850340136054422,0.06042455706150782
deal_over_tariff&volume_spike,66,0.012496348933398745,0.005988397499606113,0.04092792627430534,0.5909090909090909,0.36363636363636365,long,0.5909090909090909,0.059989574658391796
posts_very_high&china_streak_3d,26,0.01678083636688375,0.020861315664053803,0.04060487672895092,0.6923076923076923,0.3076923076923077,long,0.6923076923076923,0.05923786990787147
attack_heavy&has_iran,52,0.01374125211220381,0.005988397499606113,0.04811713922994978,0.5961538461538461,0.36538461538461536,long,0.5961538461538461,0.05907263313340342
pre_action&deal_only,30,0.016831638238897478,0.006488042726289001,0.05227470292235785,0.6333333333333333,0.3333333333333333,long,0.6333333333333333,0.05838743030700095
has_market_brag&has_iran,27,0.017395265011075384,0.007352719277015307,0.05211918878380508,0.6296296296296297,0.3333333333333333,long,0.6296296296296297,0.056911245308359094
has_russia&deal_only,94,0.010390953981748453,0.003458616917790036,0.045417820070687405,0.5638297872340425,0.425531914893617,long,0.5638297872340425,0.05680248874006563
has_russia&deal_over_tariff,114,0.00947312251763872,0.003458616917790036,0.04460123225774075,0.5526315789473685,0.43859649122807015,long,0.5526315789473685,0.05589607049079154
has_action&open_deal,28,0.017323631085739023,0.00773977252678959,0.05268740460587068,0.6071428571428571,0.35714285714285715,long,0.6071428571428571,0.05565559529838474
posts_high&has_iran,75,0.010569044617358891,0.005063276505941516,0.04455254345337832,0.5866666666666667,0.38666666666666666,long,0.5866666666666667,0.05369795864320203
has_positive&china_streak_3d,77,0.010632432804760585,0.009888625973687892,0.04609481638437993,0.5584415584415584,0.44155844155844154,long,0.5584415584415584,0.0521021613787519
has_deal&has_action,99,0.009091487810458475,0.0057251833645062256,0.047436344769460674,0.5757575757575758,0.3939393939393939,long,0.5757575757575758,0.052082547564929985
attack_heavy&china_streak_3d,34,0.013688765721641086,0.01829573352382652,0.036524239650392865,0.6470588235294118,0.35294117647058826,long,0.6470588235294118,0.051647286979391846
has_night_post&china_streak_3d,73,0.010502584988893659,0.012836842667615533,0.045238026178691236,0.5753424657534246,0.4246575342465753,long,0.5753424657534246,0.0516278530162489
uppercase_phrase_heavy&has_exclamation,47,0.012557406055710683,0.006036106372746541,0.051008253800759025,0.5957446808510638,0.3617021276595745,long,0.5957446808510638,0.051287205971451755
has_positive&sig_potus,58,0.010509968960607444,0.0072855291131341815,0.03479977725846873,0.6379310344827587,0.3275862068965517,long,0.6379310344827587,0.05106098174629948
open_deal&has_uppercase_phrase,36,0.013824849070181194,0.007582851948340297,0.04922093200463263,0.6111111111111112,0.3611111111111111,long,0.6111111111111112,0.05069111325733105
uppercase_phrase_heavy&short_posts,31,0.01343302527671466,0.01107775355625873,0.05022944181765855,0.6774193548387096,0.3225806451612903,long,0.6774193548387096,0.05066549380111039
posts_high&deal_only,155,0.007120966111128581,0.0039139896726927415,0.046471143610296285,0.567741935483871,0.4,long,0.567741935483871,0.050333339064079594
