window,hold,horizon,model_type,accuracy,d_accuracy,macro_f1,d_macro_f1,auc,d_auc,sharpe,d_sharpe,cumret,d_cumret,event_days_accuracy,d_event_days_accuracy,event_days_cumret,d_event_days_cumret,hybrid_event_days_cumret,event_day_threshold_cumret
3,1,3d_to_1d,lstm,0.4888936124895803,0.0023341862662561363,0.4334316877706764,-0.023378007161689644,0.4944826962786296,0.006265143956423132,-0.47671942750567947,0.618731564236957,-0.07036857672313482,0.035895189898799085,0.48589870591225076,-0.009862311106506138,-0.006591477067806122,0.010471436621569543,0.23527153307111767,-0.02124716236335534
5,1,5d_to_1d,lstm,0.48544151227446,-0.0041956604441706425,0.43571635358711364,-0.02431720141057805,0.4833361905433966,-0.0030707720096523777,-0.35708729479005336,0.07784500480748488,-0.07014798820238678,-0.019913516853000555,0.631288663177208,0.1963051480253493,0.00614394881942633,0.005115596005162926,0.27445345470489124,0.04594443921606538
10,3,10d_to_3d,lstm,0.44621955914162037,-0.060251355967727634,0.38738746784536454,-0.04875914676287664,0.5036549145234958,0.021726028910794285,-0.7217232556745335,-0.6273204788795402,-0.09877761450702761,-0.38465885182152015,0.4624135226309561,-0.041132263773910396,-0.0237234687820758,-0.39747932541139197,6.210672577411702,0.17521770707313838
20,5,20d_to_5d,lstm,0.43487636264342877,-0.08332758703971119,0.37390207416135773,-0.04197593642636579,0.47277904917240315,-0.0031762487739678937,-0.3376734236918673,-0.7098030907039145,12.594080563224802,3.6656807700817993,0.4049904100062566,-0.11154856012934546,10.968567354626746,5.91293146854228,40.38764714932121,10.975658900884772
20,10,20d_to_10d,lstm,0.5578318758208832,-0.001459110796568186,0.44544378968989323,-0.01652004704245995,0.5327304516206037,0.0491777203779783,0.9280411425497805,0.035762724090969165,34637.45835029401,27283.68387667764,0.5584168451458695,0.011536559343403698,28888.93060821563,22757.38936148761,18910.135963050718,28888.9314320958
60,20,60d_to_20d,lstm,0.5544769924288865,0.02253922045839316,0.44067521115729247,0.009348610673653135,0.5486110493413539,0.051122589019301196,0.7685683689887796,0.2845214522459425,12763.148612767352,-84536.07048268242,0.5534881072077683,0.015878432617430334,13034.637351096517,-84264.50011944934,2220972315.9835973,13034.63524252692
