epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9841610024957096,0.9316250876064214,0.5248868778280543,0.48868778280542985
2,0.8853038347978643,0.8497706533017741,0.5475113122171946,0.746606334841629
3,0.801459882922351,0.7964175270693334,0.5520361990950227,0.8099547511312217
4,0.7443839935695424,0.7658616150666147,0.5701357466063348,0.8461538461538461
5,0.6980428492959171,0.7476218334689939,0.579185520361991,0.9276018099547512
6,0.6699081375637156,0.7374095339580898,0.5610859728506787,0.9366515837104072
7,0.6617067506606567,0.7240287529397335,0.6153846153846154,0.9592760180995475
8,0.6410591533477293,0.7275264238879692,0.5520361990950227,0.9728506787330317
9,0.6006545335213769,0.7355856752503511,0.5610859728506787,0.9728506787330317
10,0.5864734445663697,0.7495129415891829,0.5927601809954751,0.9728506787330317
11,0.5692825339694711,0.7887552256497862,0.5294117647058824,0.9773755656108597
12,0.5662253138215784,0.7642912419673005,0.5972850678733032,0.9773755656108597
13,0.5454637936092316,0.8132028504194717,0.5656108597285068,0.9819004524886877
14,0.5328212648789513,0.7856574624911692,0.583710407239819,0.9864253393665159
15,0.521305879870838,0.8144278013868029,0.5475113122171946,0.995475113122172
