Date,0050.TW,00632R.TW,00679B.TW,2303.TW,2308.TW,2317.TW,2330.TW,2376.TW,2377.TW,2382.TW,2454.TW,3711.TW,TSM,TWD=X,^GSPC,^NDX,^SOX,^TNX,^VIX
2017-02-06,11788984.0,53821000.0,,30099000.0,4000000.0,35532800.0,24779000.0,1448000.0,5898000.0,5443000.0,9082000.0,10755490.0,3523700.0,0.0,3112390000.0,1736140000.0,0.0,0.0,0.0
2017-02-07,17220928.0,22763000.0,,26408000.0,3701000.0,45394400.0,23616000.0,3050000.0,3698000.0,5725000.0,8804000.0,9267495.0,6209500.0,0.0,3452460000.0,1922030000.0,0.0,0.0,0.0
2017-02-08,17735756.0,25299000.0,,27188000.0,3079000.0,77283200.0,29168000.0,1390000.0,3737000.0,8993000.0,8490000.0,17261143.0,7776600.0,0.0,3611950000.0,1947100000.0,0.0,0.0,0.0
2017-02-09,14193680.0,40723000.0,,22505000.0,3511000.0,75760800.0,18967000.0,1005000.0,3098000.0,11475000.0,4841000.0,10754500.0,8547000.0,0.0,3681600000.0,1948120000.0,0.0,0.0,0.0
2017-02-10,19479148.0,88101000.0,,31474000.0,6797000.0,64649600.0,34747000.0,1535000.0,7506000.0,10812000.0,6355000.0,11817000.0,6749400.0,0.0,3496600000.0,1867270000.0,0.0,0.0,0.0
2017-02-13,13320588.0,37454000.0,,22463000.0,3245000.0,42320000.0,25124000.0,1534000.0,4401000.0,8020000.0,5549000.0,5497500.0,10203800.0,0.0,3352370000.0,1843480000.0,0.0,0.0,0.0
2017-02-14,24286672.0,57384000.0,,20623000.0,3744000.0,59132000.0,45696000.0,2673000.0,4019000.0,8291000.0,4604000.0,6619000.0,5208600.0,0.0,3528040000.0,1952370000.0,0.0,0.0,0.0
2017-02-15,37628016.0,70716000.0,,29795000.0,3063000.0,59834400.0,39347000.0,1382000.0,4535000.0,9129000.0,5806000.0,12446500.0,4577200.0,0.0,3785870000.0,2094140000.0,0.0,0.0,0.0
2017-02-16,21866524.0,64007000.0,,43898000.0,4422000.0,38084800.0,27018000.0,2346000.0,8453000.0,8455000.0,5237000.0,9656500.0,13197100.0,0.0,3675900000.0,1945600000.0,0.0,0.0,0.0
2017-02-17,20771092.0,17517000.0,,14953000.0,2493000.0,23855200.0,20389000.0,1344000.0,8916000.0,4135000.0,15689000.0,4796500.0,7518200.0,0.0,3516830000.0,1879030000.0,0.0,0.0,0.0
2017-02-18,20771092.0,0.0,,14953000.0,2493000.0,23855200.0,20389000.0,1344000.0,8916000.0,4135000.0,15689000.0,4796500.0,7518200.0,0.0,3516830000.0,1879030000.0,0.0,0.0,0.0
2017-02-20,11210424.0,20417000.0,,11621000.0,1841000.0,21981600.0,13254000.0,1375000.0,5485000.0,4929000.0,4617000.0,3582000.0,7518200.0,0.0,3516830000.0,1879030000.0,0.0,0.0,0.0
2017-02-21,13349556.0,19946000.0,,9482000.0,2508000.0,27548000.0,31159000.0,933000.0,3468000.0,3940000.0,6929000.0,8681500.0,5475400.0,0.0,3587520000.0,1940110000.0,0.0,0.0,0.0
2017-02-22,11753588.0,26462000.0,,31979000.0,1746000.0,22290400.0,25677000.0,1348000.0,5418000.0,4588000.0,4512000.0,9350000.0,5296200.0,0.0,3473170000.0,1874710000.0,0.0,0.0,0.0
2017-02-23,9329768.0,25250000.0,,22201000.0,2340000.0,25191200.0,35725000.0,2231000.0,4175000.0,7298000.0,5733000.0,8425500.0,5291200.0,0.0,4021770000.0,1881490000.0,0.0,0.0,0.0
2017-02-24,7379160.0,20962000.0,,317890000.0,2780000.0,25395200.0,22766000.0,1361000.0,7421000.0,7175000.0,7611000.0,4176500.0,3687100.0,0.0,3832410000.0,1684650000.0,0.0,0.0,0.0
2017-02-27,7379160.0,20962000.0,,317890000.0,2780000.0,25395200.0,22766000.0,1361000.0,7421000.0,7175000.0,7611000.0,4176500.0,5841900.0,0.0,3584680000.0,1882610000.0,0.0,0.0,0.0
2017-02-28,7379160.0,20962000.0,,317890000.0,2780000.0,25395200.0,22766000.0,1361000.0,7421000.0,7175000.0,7611000.0,4176500.0,6040800.0,0.0,4212460000.0,2303390000.0,0.0,0.0,0.0
2017-03-01,12429400.0,60386000.0,,154554000.0,3720000.0,24343200.0,46186000.0,1941000.0,9667000.0,5892000.0,7513000.0,6323000.0,4910300.0,0.0,4347630000.0,2220350000.0,0.0,0.0,0.0
2017-03-02,28231488.0,67018000.0,,67059000.0,5147000.0,27184800.0,39980000.0,2087000.0,7368000.0,10295000.0,7700000.0,6319000.0,8561100.0,0.0,3824030000.0,2043610000.0,0.0,0.0,0.0
2017-03-03,17640904.0,59344000.0,,51258000.0,3166000.0,23934400.0,28197000.0,1091000.0,5719000.0,6213000.0,7710000.0,8004000.0,6120700.0,0.0,3556670000.0,1853600000.0,0.0,0.0,0.0
2017-03-06,8709452.0,26422000.0,,32689000.0,1963000.0,14743200.0,12531000.0,1376000.0,3403000.0,1884000.0,5254000.0,5356000.0,5467400.0,0.0,3251800000.0,1774040000.0,0.0,0.0,0.0
2017-03-07,8109184.0,20923000.0,,87762000.0,2580000.0,24118400.0,18812000.0,1238000.0,3540000.0,4817000.0,4281000.0,8453500.0,7014000.0,0.0,3526300000.0,1825510000.0,0.0,0.0,0.0
2017-03-08,8728588.0,32321000.0,,31632000.0,2057000.0,26876800.0,31791000.0,2307000.0,3735000.0,3026000.0,8795000.0,3941000.0,4528500.0,0.0,3814080000.0,1813080000.0,0.0,0.0,0.0
2017-03-09,13525580.0,67199000.0,,44646000.0,4321000.0,27268800.0,28489000.0,2675000.0,3989000.0,4694000.0,4509000.0,5889000.0,6120700.0,0.0,3718450000.0,1886780000.0,0.0,0.0,0.0
2017-03-10,21693140.0,84267000.0,,24238000.0,8320000.0,30039200.0,20053000.0,2089000.0,3165000.0,3351000.0,5633000.0,2773000.0,5655300.0,0.0,3434400000.0,1999440000.0,0.0,0.0,0.0
2017-03-13,10061528.0,17124000.0,,12180000.0,7977000.0,12253600.0,10487000.0,1619000.0,2954000.0,3139000.0,5828000.0,6949000.0,3965700.0,0.0,3166650000.0,1812460000.0,0.0,0.0,0.0
2017-03-14,15793412.0,33216000.0,,19665000.0,6562000.0,16468000.0,22245000.0,1392000.0,2382000.0,5610000.0,5670000.0,9443000.0,5967200.0,0.0,3173760000.0,1664870000.0,0.0,0.0,0.0
2017-03-15,13961488.0,10035000.0,,21679000.0,3304000.0,14074400.0,14131000.0,1473000.0,2584000.0,3329000.0,4497000.0,3627500.0,4571400.0,0.0,3909490000.0,1955400000.0,0.0,0.0,0.0
