event,regime,n,mean_ret,median_ret,hit_up,hit_down
attack_heavy&china_streak_3d,neutral,14,0.027481409935436303,0.024605778471466944,0.8571428571428571,0.14285714285714285
attack_heavy&china_streak_3d,oversold,23,0.00830290357653005,0.009771924748369853,0.6956521739130435,0.30434782608695654
attack_heavy&china_streak_3d,risk_off,5,0.01474996735526073,0.0512820179285407,0.6,0.4
attack_heavy&has_china,calm_bull,31,0.014556351522986339,0.016774084105106946,0.6451612903225806,0.3548387096774194
attack_heavy&has_china,neutral,50,0.009233399397815976,0.01105872578328515,0.58,0.42
attack_heavy&has_china,oversold,74,0.008582472753574358,0.009804045090622049,0.6216216216216216,0.3783783783783784
attack_heavy&has_china,risk_off,18,0.017055755403790056,0.02903770537263506,0.6111111111111112,0.3888888888888889
china_streak_3d,calm_bull,5,0.026527441797384844,0.03246746472645334,0.8,0.2
china_streak_3d,neutral,36,0.014039961288348854,0.01215981000719657,0.6388888888888888,0.3333333333333333
china_streak_3d,oversold,43,0.01354890601068328,0.019815047015413922,0.6976744186046512,0.3023255813953488
china_streak_3d,risk_off,13,0.03606181693457305,0.03392127932201228,0.8461538461538461,0.15384615384615385
china_streak_3d&volume_drop,neutral,7,0.022886995738188136,0.002877488102742687,0.7142857142857143,0.2857142857142857
china_streak_3d&volume_drop,oversold,11,0.02918933841233357,0.04038787891526008,0.9090909090909091,0.09090909090909091
china_streak_3d&volume_drop,risk_off,6,0.030978546242356297,0.03138369514254069,1.0,0.0
deal_heavy&short_posts,calm_bull,18,-0.002139488629932746,-0.0018917229734966012,0.5,0.5
deal_heavy&short_posts,neutral,24,0.01695393357018252,0.02640229641637004,0.5833333333333334,0.4166666666666667
deal_heavy&short_posts,oversold,22,0.02506178058277706,0.029005637824561226,0.6363636363636364,0.36363636363636365
deal_heavy&short_posts,risk_off,5,0.10743886989438885,0.09225085032397917,1.0,0.0
deal_only&china_streak_3d,neutral,7,0.03423292444304089,0.040540520982813355,0.7142857142857143,0.2857142857142857
deal_only&china_streak_3d,oversold,17,0.016912217005171884,0.013400281838322314,0.7647058823529411,0.23529411764705882
deal_only&china_streak_3d,risk_off,6,0.03700221699145517,0.0482775190543,0.8333333333333334,0.16666666666666666
deal_over_tariff&china_streak_3d,neutral,11,0.028799395756471027,0.030089086539329735,0.7272727272727273,0.2727272727272727
deal_over_tariff&china_streak_3d,oversold,19,0.014942281404422015,0.013400281838322314,0.7368421052631579,0.2631578947368421
