epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.002828490141916,0.926196119284521,0.5707762557077626,0.7853881278538812
2,0.8346237255739084,0.8046453739410122,0.5525114155251142,0.8721461187214612
3,0.7128183841705322,0.7504454260547412,0.5707762557077626,0.9041095890410958
4,0.649831015785621,0.7229236492283269,0.5662100456621004,0.9406392694063926
5,0.6212631825751929,0.713813486708898,0.5707762557077626,0.954337899543379
6,0.5835900960679188,0.7055274593775676,0.547945205479452,0.9817351598173516
7,0.5587796355169227,0.7129848887931266,0.5570776255707762,0.9908675799086758
8,0.5433946213248482,0.7125663215711237,0.5616438356164384,0.9908675799086758
9,0.5186888910266803,0.7236773945969533,0.5616438356164384,0.9908675799086758
10,0.5017188539000361,0.7397034745238144,0.5570776255707762,0.9908675799086758
11,0.4940336130350249,0.7415575665426036,0.5707762557077626,0.9908675799086758
12,0.47524529747005156,0.7559810256304806,0.5616438356164384,0.9954337899543378
13,0.4593952233152822,0.7836587954329574,0.5844748858447488,0.9954337899543378
14,0.4469296388955662,0.7707432143764409,0.5799086757990868,0.9908675799086758
