epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.0148270013007954,0.9495450018747756,0.5662100456621004,0.7579908675799086
2,0.8970202042783568,0.8436578027733929,0.593607305936073,0.7990867579908676
3,0.7890968398707989,0.7733362458612276,0.5296803652968036,0.8538812785388128
4,0.7154716237832351,0.7357037919297066,0.5707762557077626,0.908675799086758
5,0.6695753352688404,0.7259884645405426,0.5342465753424658,0.9452054794520548
6,0.6524471171988782,0.7172730126881708,0.5388127853881278,0.9634703196347032
7,0.617748104212866,0.7217247516052908,0.547945205479452,0.9771689497716894
8,0.5925661293270779,0.7308015553918603,0.547945205479452,0.9908675799086758
9,0.5735930913725373,0.7203875116017311,0.593607305936073,0.9908675799086758
10,0.549052142427498,0.7352944598894685,0.5159817351598174,0.9954337899543378
11,0.5349659091968001,0.7413581411043803,0.54337899543379,1.0
12,0.5331937525236323,0.7404348417504193,0.5616438356164384,1.0
13,0.49081846833486537,0.7993263302872714,0.5981735159817352,1.0
14,0.46752313931611394,0.8030724509121621,0.5570776255707762,0.9954337899543378
