target,event,n,mean_ret_h1,median_ret_h1,hit_rate_h1,std_h1,mean_ret_h2,median_ret_h2,hit_rate_h2,std_h2,mean_ret_h3,median_ret_h3,hit_rate_h3,std_h3
0050.TW,long_posts,22,0.0036186005857022866,0.0037685755793529507,0.6363636363636364,0.014891227945301238,0.003294289352397299,0.0006069589816953824,0.5454545454545454,0.0203134241337504,0.005170056606237912,0.0050587104493551305,0.7727272727272727,0.023033701045261208
0050.TW,posts_very_high,240,0.0019088772803925573,0.0024061695357842083,0.5875,0.010093827142889625,0.0027857965058873863,0.00321547436248526,0.5583333333333333,0.016954351123802083,0.0036472167517019524,0.0037786196405945605,0.5833333333333334,0.020588015728122584
0050.TW,has_market_brag,175,0.00189699911055113,0.001525095307615354,0.5714285714285714,0.008496937900382475,0.002094702977565923,0.0030523977072118846,0.56,0.012873238984029126,0.0019330188286920049,0.000617574525196396,0.52,0.01507039022884893
0050.TW,volume_drop,387,0.0018542804382823891,0.0,0.49870801033591733,0.012661187276555281,0.00353662793386092,0.002274898687057325,0.537467700258398,0.017346407028774873,0.004749392224849504,0.0024390128219760054,0.5452196382428941,0.02087094356891401
0050.TW,high_emotion,166,0.001835987392489795,0.0,0.4939759036144578,0.010618199496058725,0.003820424387643495,0.003240609245365067,0.572289156626506,0.017995925180798393,0.0036387215696581025,0.0031222152923581215,0.5843373493975904,0.02281503201538737
0050.TW,attack_heavy,414,0.0015950201750172003,0.0013472342666018822,0.5531400966183575,0.009849952668397015,0.0028990905833361567,0.0022121453569426963,0.5531400966183575,0.014676227196292736,0.004359477302836246,0.0029111930545898668,0.5821256038647343,0.018037299531156948
0050.TW,brag_heavy,32,0.0015894761195131245,0.002846753483529363,0.65625,0.008117009948175975,0.002777534439170396,0.004475677587964411,0.65625,0.011511910627412313,0.0013661976159128862,0.0025711121176119622,0.5625,0.014138723739639696
0050.TW,has_action,271,0.0014897568780917164,0.00048448996791594645,0.5129151291512916,0.012027841626647284,0.002232413924445937,0.002645379659206748,0.5719557195571956,0.018007686489918646,0.004386909297792759,0.003521081383736968,0.5940959409594095,0.0216066364109425
0050.TW,sig_potus,120,0.0014410434757033453,0.0009194835168072624,0.525,0.008390198747183816,0.004717917595918363,0.002314861081876174,0.5916666666666667,0.013863557446710188,0.005804003875166313,0.003463308591629688,0.575,0.018488634950028233
0050.TW,tariff_rising,20,0.00143638788186079,0.0018290460720792323,0.55,0.007164936690479008,0.0010344107808818392,-0.0018109787161202928,0.35,0.009632449414310873,0.0006172182478706323,-0.000299290305555755,0.4,0.013078397226101546
0050.TW,has_iran,129,0.0012712283978889571,0.0011993900912967703,0.5503875968992248,0.009706151048042524,0.0019612418904359817,0.002869986959166404,0.5891472868217055,0.012529748844322305,0.0009545859431087031,0.0014157440298172563,0.5581395348837209,0.01542584251325011
0050.TW,has_attack,1045,0.0011429026358864467,0.0005948698922193518,0.5167464114832536,0.010739971630139622,0.0021363986375003002,0.001986781972788565,0.5511961722488038,0.01497289437990607,0.0030817231739327217,0.0029598690518082282,0.569377990430622,0.01875860814939684
0050.TW,positive_heavy,871,0.0011371736337684394,0.0008709495376446608,0.5269804822043628,0.01141159294507252,0.0018769886572744554,0.0019168967422684702,0.5442020665901263,0.015585550343112523,0.0027545966296287795,0.0026728999587151137,0.5683122847301951,0.01984674540765801
0050.TW,has_russia,432,0.0011140617723097216,0.0005403961640370047,0.5069444444444444,0.0112686214143755,0.0021529224159674005,0.0014551961210778064,0.5300925925925926,0.014892338733509676,0.0024129490801064017,0.002505452166636224,0.5555555555555556,0.019255180946322146
0050.TW,has_relief,95,0.0010373372565973874,0.0,0.4842105263157895,0.016076162639998497,0.0032755788335103227,0.0037571569669796467,0.6210526315789474,0.021107082264128326,0.005454853899127974,0.004934882041017996,0.631578947368421,0.027142744359231648
0050.TW,silence_day,721,0.0010031014748866501,0.0,0.47156726768377255,0.01358422103193182,0.0018502118732252216,0.0010801635432047263,0.5228848821081831,0.019069530288215546,0.002567218855613021,0.002532549084899527,0.5381414701803051,0.022824630373552198
0050.TW,short_posts,716,0.000985127623026686,0.0,0.4972067039106145,0.010682321674697185,0.0020604526932401462,0.0019511890026229217,0.5600558659217877,0.014919882449466062,0.0027188218886323614,0.002447216028966137,0.5586592178770949,0.018647185754249996
0050.TW,posts_high,614,0.0008393728907841341,0.0005275529940218515,0.5228013029315961,0.011515330317165496,0.0016744619437347474,0.0014640324213330835,0.5309446254071661,0.01694022911761649,0.0019732258449188266,0.001568522194214883,0.5390879478827362,0.02074773050893355
0050.TW,posts_low,1020,0.0007979857091027039,0.0,0.47843137254901963,0.013068751513396442,0.0014045366048018957,0.0007361672565699973,0.5166666666666667,0.01867638392880898,0.0021249701755133603,0.001964594583954149,0.5294117647058824,0.022344541742751304
0050.TW,deal_only,368,0.0007950301824709649,0.000385145163818712,0.5054347826086957,0.011914163636274955,0.0017808733249672598,0.0007695461642790447,0.5217391304347826,0.014674161067882349,0.0023957570642986247,0.0018325685261162405,0.5489130434782609,0.019007454637793502
0050.TW,lots_of_excl,1246,0.0007946953818296115,0.0003931456100836339,0.5040128410914928,0.011171371578433441,0.0016732629184343219,0.0017297499386697002,0.5385232744783307,0.015396525162428766,0.0023867678335585947,0.0022798555151891664,0.5513643659711075,0.019180471690682665
0050.TW,deal_over_tariff,398,0.0007843273608571656,0.0003815184035881325,0.5025125628140703,0.011746170317372117,0.001763482290675199,0.001074446711762822,0.5251256281407035,0.014662056065482473,0.002350198694535537,0.0018325685261162405,0.5452261306532663,0.01890099203194331
0050.TW,open_deal,152,0.000782341941910085,0.0003948717301796023,0.506578947368421,0.013760790536723308,0.00042056298770652917,0.0,0.4934210526315789,0.01659301463472854,0.0002990201854454185,0.0006657400548149006,0.5131578947368421,0.020941129599592326
0050.TW,has_positive,1409,0.0007209265646875272,0.0,0.49467707594038324,0.010814761176840059,0.001479549468152398,0.0014334166303278106,0.5344215755855216,0.015146161492004248,0.0025545684228024963,0.002185594877888386,0.5493257629524485,0.018734773017358052
0050.TW,has_deal,437,0.0007113274940077303,0.00038016632786574966,0.5011441647597255,0.011544899252071758,0.0014919675156179655,0.0006225505682750931,0.5148741418764302,0.014525563134117958,0.002226781022357722,0.0015880181111165292,0.5423340961098398,0.018648562099642003
0050.TW,pre_action,101,0.0007111037021976362,0.0004006409995580551,0.5148514851485149,0.011580991633591055,0.0008335802246775279,0.0019171711053842522,0.5643564356435643,0.018109101380449,0.0024278870937604444,0.0023642943198640687,0.5742574257425742,0.019667907467376105
0050.TW,has_china,416,0.0006509523685583444,0.00044045462145281267,0.5096153846153846,0.010888459257134185,0.0012871855041422609,0.0014640324213330835,0.5192307692307693,0.015328059143632044,0.001835985658323583,0.00237621256268572,0.5552884615384616,0.019236452593820636
0050.TW,has_night_post,775,0.0005821372156335022,0.0,0.4890322580645161,0.01118294452224577,0.0013754929312067496,0.00118544687797284,0.5264516129032258,0.015987487405402557,0.002117052537472969,0.0015880181111165292,0.535483870967742,0.019933221311568255
0050.TW,pre_deal,209,0.0005417259329175928,0.0,0.48325358851674644,0.010259354953319179,0.0014347069360407464,0.0011837513278118994,0.5263157894736842,0.013080170521509076,0.0029520323318426257,0.002196727592265635,0.5550239234449761,0.01637246150433516
0050.TW,pre_tariff,65,0.0004530728947943861,0.0006112178561430426,0.5230769230769231,0.00928547173107244,0.0007403398591145523,0.002392240252383493,0.5230769230769231,0.013253763421312048,0.0013782228664868694,0.002196727592265635,0.5538461538461539,0.017487451452836637
0050.TW,volume_spike,212,0.00015232395100036266,0.0007241945631610847,0.5283018867924528,0.01268060000962686,0.0005797119581741433,0.0019142445708891787,0.5330188679245284,0.017438218469938843,0.0008746663910656812,0.0018652574079062179,0.5518867924528302,0.020391528503979045
0050.TW,has_tariff,145,8.791299225950019e-05,0.0005147657685955487,0.5103448275862069,0.009475642454571992,-3.401590502285195e-05,0.0,0.4827586206896552,0.014750010994846244,0.0020127991089621236,0.0020588707823507857,0.5586206896551724,0.017041302655863982
0050.TW,tariff_only,76,-7.278452440046721e-05,0.0006140781023852293,0.5394736842105263,0.009608452203416815,-2.0535881123853594e-05,0.0,0.4868421052631579,0.015730023676745197,0.0026367258380404915,0.0038700181684834245,0.6052631578947368,0.01743046919110798
0050.TW,has_chips,46,-0.00011379266866215849,0.000831509703801081,0.5652173913043478,0.00839862901500356,0.003363219195270273,0.0014877526513027428,0.5434782608695652,0.012635972075279731,0.004456090901193045,0.0019286479156096492,0.5434782608695652,0.015906815967324576
0050.TW,open_tariff,57,-0.00023743542374396904,0.0006112178561430426,0.5263157894736842,0.009695994333453455,-0.0014831084952736213,-0.0006006024874345428,0.45614035087719296,0.01663206534812434,0.0009771680069247464,0.002196727592265635,0.5614035087719298,0.014902368707507566
0050.TW,china_chips_combo,15,-0.0005360105148583132,0.00046706542716612454,0.5333333333333333,0.009378623362048179,0.0007740834594007021,0.0,0.4,0.010509533231492837,0.0006782291899716612,0.0,0.4666666666666667,0.01345531310029778
0050.TW,deal_heavy,159,-0.0007412434985389492,0.0,0.44025157232704404,0.012201483967648655,0.001392748038472256,0.0010678090674405283,0.5220125786163522,0.016111095586605454,0.0031746125652392628,0.003773645993485175,0.5786163522012578,0.018975080788034584
0050.TW,pre_relief,28,-0.0007521419015381019,0.0,0.4642857142857143,0.01949937858963499,0.0032432787319071265,0.0024686152124417937,0.5714285714285714,0.023810860637530042,0.009068194592174414,0.005238478678620373,0.6428571428571429,0.022810350597432274
0050.TW,china_streak_3d,79,-0.0008690255187579453,0.0,0.4430379746835443,0.015460943868787921,-0.0007022095937238662,0.0006795035085180867,0.5189873417721519,0.017519743014552596,-0.00019794928134194518,0.0015872294087377892,0.5063291139240507,0.02199634560448492
0050.TW,tariff_streak_3d,16,-0.001287782771715866,-0.002184763356184116,0.375,0.005696256268229732,-0.001166021852129051,-0.004456065450152258,0.3125,0.010301614745922439,-0.0017001455360143095,-0.0031909954674687047,0.375,0.012362639643591857
0050.TW,tariff_heavy,13,-0.002230442900732855,-0.0005159010696078603,0.46153846153846156,0.010810317437633863,-0.00641934477372383,-0.00499083061370309,0.38461538461538464,0.018642106328416095,-0.004269344125540629,0.0006044944331868862,0.5384615384615384,0.01828038937984271
00632R.TW,silence_day,721,0.007187594147854595,0.0,0.37586685159500693,0.21849125899358984,0.01436044486802969,-0.001897486163352835,0.3786407766990291,0.3066386026297695,0.02162905782330095,-0.003502623606462252,0.3869625520110957,0.3744301293975218
00632R.TW,posts_low,1020,0.004951281001856484,0.0,0.37450980392156863,0.18379060138922068,0.009981119915180341,-0.0018148863613883237,0.37549019607843137,0.2580157880822601,0.014903848693623422,-0.003204273727466511,0.39509803921568626,0.31512027913510104
00632R.TW,tariff_streak_3d,16,0.000980279238449143,0.001206931235276154,0.5625,0.0048692219246432725,0.0004537251662767097,0.0020526028269493013,0.5625,0.008379046012463953,0.0005895316800650016,0.0024665145428552915,0.5625,0.009883539246789284
00632R.TW,tariff_heavy,13,0.0009050722104986424,0.0008340474622796634,0.5384615384615384,0.009634935483191415,0.0052011985408961705,0.0008665709631623386,0.6153846153846154,0.018793722825872494,0.0024879342236863167,-0.0008703419565745385,0.46153846153846156,0.016476787254789373
00632R.TW,china_streak_3d,79,0.0007379047926619538,0.0,0.4810126582278481,0.015935661244986774,0.00011008384508173377,-0.0008090028709762942,0.46835443037974683,0.019590332734226105,-0.00048273856285934504,-0.0012180546693508765,0.4430379746835443,0.02445966574013368
00632R.TW,pre_relief,28,0.00042536410427966776,-0.0007428807807937088,0.32142857142857145,0.01983286415991899,-0.0039623584565600745,-0.004176397510963159,0.35714285714285715,0.023693343471646904,-0.010175418477670561,-0.0074791790751707055,0.2857142857142857,0.023437322475519804
00632R.TW,china_chips_combo,15,0.0004024580816644289,0.0,0.3333333333333333,0.008788907141877541,-0.0004476974799455672,0.0,0.4,0.009650772973017998,-0.0016533924054732048,0.0,0.3333333333333333,0.012177589134882425
00632R.TW,deal_heavy,159,0.00022712692384647094,0.0,0.4025157232704403,0.012184121039729325,-0.0020504933821040585,-0.0021276069043588697,0.33962264150943394,0.015749212402520738,-0.003744481347248594,-0.004032254188043205,0.32075471698113206,0.018510571463297095
00632R.TW,volume_spike,212,0.00011564880602692252,-0.001139085348095703,0.37735849056603776,0.012574308326129088,-0.00034247424700195594,-0.0009327347956140097,0.3867924528301887,0.0172177278130126,-0.0006501501307080589,-0.0008732011541634499,0.4009433962264151,0.019369992865377415
00632R.TW,tariff_only,76,6.331071406828466e-05,-0.0008257470356231034,0.34210526315789475,0.008523508846661212,2.3885136691031106e-05,-0.00081336986879188,0.40789473684210525,0.015616248749699193,-0.003023338467380897,-0.004416423274727133,0.34210526315789475,0.016581929031772143
00632R.TW,has_chips,46,-0.0001026250637681875,-0.001590111940426353,0.32608695652173914,0.007221926562312258,-0.0033290740974754283,-0.0019494928148475754,0.32608695652173914,0.010417492126442034,-0.00429740845581903,-0.001299617663475361,0.3695652173913043,0.012987005148812764
00632R.TW,open_tariff,57,-0.00018154948569860526,-0.000811048576132567,0.2982456140350877,0.008204627680087038,0.0013180546675440165,0.0,0.42105263157894735,0.016505129374311922,-0.0019066490981444117,-0.0008908889569700928,0.40350877192982454,0.013330754636509023
00632R.TW,has_tariff,145,-0.00021296963854750952,-0.0007616320483376793,0.3793103448275862,0.00834718273364593,-7.57303167629204e-07,-0.0007299437241651274,0.4068965517241379,0.014117919296230196,-0.0021714499804201992,-0.0031720827075395475,0.3931034482758621,0.015322463270710265
00632R.TW,pre_tariff,65,-0.0005259731019999086,-0.0008628325064863329,0.4,0.008574260608398818,-0.0009771652028710501,-0.001872701984285463,0.36923076923076925,0.012653587942607247,-0.0014892069342630962,-0.004035527792524141,0.38461538461538464,0.016219826755584584
00632R.TW,has_china,416,-0.0005651528312521591,0.0,0.3701923076923077,0.010616506735913751,-0.0011442449687332995,-0.0013774273370921186,0.3942307692307692,0.014750976406829427,-0.0016281183094692393,-0.0024317392746172617,0.3798076923076923,0.01834306632369993
00632R.TW,has_night_post,775,-0.0005818355569239677,0.0,0.37290322580645163,0.010566536317424094,-0.0013150799167643984,-0.0019156613882376217,0.3909677419354839,0.015172516653076262,-0.0019552711062959718,-0.002336501960658488,0.38451612903225807,0.019021151370118866
00632R.TW,pre_action,101,-0.0006262741138570166,0.0,0.36633663366336633,0.011623386588104153,-0.000384328221464794,-0.0021322449381295794,0.39603960396039606,0.01905501450706995,-0.0017984120670098884,-0.0020747362086480647,0.36633663366336633,0.01972154272472372
00632R.TW,open_deal,152,-0.0006713992880691221,-0.0009638216959463319,0.35526315789473684,0.013616863074387189,-0.0005340441465608618,-0.0017702999824251164,0.375,0.01618429228566811,-0.0006426531707615821,-0.0021124216249115424,0.3881578947368421,0.02071362341287163
