target,period,period_start,period_end,event,n,raw_gap_h1,resid_gap_h1,resid_hit_h1,resid_abs_lift_h1,event_resid_mean_h1,nonevent_resid_mean_h1,raw_gap_h2,resid_gap_h2,resid_hit_h2,resid_abs_lift_h2,event_resid_mean_h2,nonevent_resid_mean_h2,raw_gap_h3,resid_gap_h3,resid_hit_h3,resid_abs_lift_h3,event_resid_mean_h3,nonevent_resid_mean_h3,period_residual_influence_score
2376.TW,2018-12-31,2018-10-01,2018-12-31,volume_drop,5,-0.034054007291337667,-0.03844399999153395,0.2,0.017957383819351108,-0.038101143806290635,0.0003428561852433177,-0.03139659018774068,-0.0348072338131604,0.0,0.0055024246489328715,-0.0384987514982482,-0.0036915176850877947,-0.03642779130345279,-0.040364742351188934,0.0,0.009030839100295306,-0.04813740586829847,-0.007772663517109538,4.779960926031379
3711.TW,2018-12-31,2018-10-01,2018-12-31,volume_spike,6,-0.021074469043313518,-0.016107781166199094,0.5,0.010086668949447361,-0.018328387816474164,-0.00222060665027507,-0.04870392793804744,-0.043410799785939994,0.0,0.029745071218472603,-0.04841755387673621,-0.005006754090796215,-0.0463116328304727,-0.04066361448648119,0.16666666666666666,0.026290184072403352,-0.05177344093696642,-0.01110982645048523,4.738675464561062
2303.TW,2020-09-30,2020-07-01,2020-09-30,has_relief,6,0.022975620433177676,0.02087804348435252,0.5,0.011818359153590925,0.027223208845388203,0.006345165361035684,0.04322150400310529,0.040073055702813214,1.0,0.015607010900866566,0.053114056998763814,0.013041001295950599,0.048255851048449566,0.04606421786403854,1.0,0.021125046057979102,0.06796939973426257,0.02190518187022403,4.729143271737972
3711.TW,2021-03-31,2021-01-01,2021-03-31,has_positive,5,0.021656132102883578,0.021388235710331126,1.0,0.0036279997906074786,0.02302675407508222,0.0016385183647510963,0.03231985068904808,0.031460289305880906,0.8,0.012339998744676652,0.03520723977329587,0.0037469504674149654,0.0562711126877217,0.05539142447497328,1.0,0.02286521755203918,0.059733138806588794,0.004341714331615517,4.706469512520513
2454.TW,2020-09-30,2020-07-01,2020-09-30,volume_drop,5,0.02711025515263991,0.02370749373513757,0.6,0.011427264875425669,0.021659435215203318,-0.00204805851993425,0.03769627831761882,0.03495178412876117,0.6,0.02640628174476518,0.032296401374707254,-0.002655382754053915,0.04496222577186364,0.0443783816948865,0.6,0.02397452276567969,0.04137637202952581,-0.003002009665360691,4.582640736416297
2303.TW,2020-09-30,2020-07-01,2020-09-30,volume_spike,5,0.02796542792730105,0.030419599728981842,1.0,0.012153631828578999,0.03635825391215701,0.005938654183175167,0.04051617770612577,0.04239045633714994,1.0,0.018325494236874545,0.05586306448963281,0.013472608152482867,0.024384443247682547,0.0276588577020339,0.8,0.005755230694334104,0.05165632773398614,0.023997470031952236,4.404120666294265
2454.TW,2024-06-30,2024-04-01,2024-06-28,has_tariff,5,-0.032466238087209096,-0.02613854540152465,0.2,0.007318653345521488,-0.02226579588554787,0.0038727495159767812,-0.047210094537691705,-0.03831830019433046,0.2,0.006357718230331058,-0.031248350352787325,0.007069949841543136,-0.05247514578816445,-0.04352217958904511,0.4,0.01668956498712744,-0.033890094570871575,0.00963208501817354,4.356650710238621
2330.TW,2021-03-31,2021-01-01,2021-03-31,has_positive,5,0.013073251684230645,0.013454760942840312,1.0,0.0001008824767289064,0.013632330735794252,0.00017756979295393928,0.03101061774509576,0.03196283590805282,1.0,0.010333705470007462,0.031361140285236115,-0.0006016956228167087,0.051055521319347145,0.05211442459932388,1.0,0.02349809427616021,0.0507369546933372,-0.0013774699059866781,4.334529680081125
2376.TW,2023-06-30,2023-04-03,2023-06-30,pre_deal,11,0.011149037531255453,0.01466361675013932,0.8181818181818182,0.0015351222696401295,0.02044192214510442,0.005778305394965101,0.018956660513573247,0.022682007552499606,0.8181818181818182,0.009036015157295546,0.037387081715927487,0.01470507416342788,0.0528108667013823,0.05715293088616748,0.9090909090909091,0.035618775325267436,0.0763495774986351,0.01919664661246762,4.293117633812994
2377.TW,2018-12-31,2018-10-01,2018-12-31,pre_action,5,-0.012666140822161418,-0.01698928961500446,0.0,-0.00664362540546928,-0.016254114745225152,0.0007351748697793088,-0.02843359990861875,-0.03412193237612591,0.0,0.003768920003790612,-0.03339318578311012,0.0007287465930157905,-0.04595138906014978,-0.05235511014612438,0.0,0.01571887503407307,-0.052244922171351384,0.00011018797477299613,4.291591916565167
3711.TW,2021-03-31,2021-01-01,2021-03-31,volume_drop,7,0.014108582072567894,0.009655962489731008,0.7142857142857143,0.011197488303209699,0.011909315872037394,0.0022533533823063862,0.039525791188951644,0.03316938364470462,0.5714285714285714,0.015478279086768413,0.03574626787800196,0.0025768842332973443,0.05972140088280671,0.053194680166718876,1.0,0.019527202825436213,0.0560456813922068,0.0028510012254879267,4.253416224283616
2454.TW,2020-12-31,2020-10-01,2020-12-31,has_relief,6,0.025980247903976534,0.028359763610977754,0.8333333333333334,0.015159573898232448,0.026982511746957084,-0.0013772518640206715,0.030977638431573487,0.033433051879799745,1.0,0.013696308112847218,0.03416500341550184,0.0007319515357020943,0.02809041755498201,0.032413482671362175,1.0,0.008011656677474027,0.03602038134308618,0.0036068986717240096,4.2185724628155485
2454.TW,2020-03-31,2020-01-01,2020-03-31,pre_action,6,-0.024967194467946593,-0.029184348327444196,0.16666666666666666,0.01424683449376343,-0.0316915005627992,-0.0025071522353550054,-0.03761974793031095,-0.038020570467091425,0.3333333333333333,0.03071702455285673,-0.04485914436742125,-0.006838573900329825,-0.01912441625781466,-0.023529470708238256,0.16666666666666666,0.007420346414139786,-0.03697216533041504,-0.013442694622176782,4.194786620373459
2454.TW,2021-03-31,2021-01-01,2021-03-31,short_posts,5,0.02099228873110115,0.020203472280641996,0.8,0.008273514903940848,0.02167662112162925,0.0014731488409872534,0.03366705689760975,0.031977163346113904,0.8,0.012395862976657707,0.034103446081819165,0.002126282735705259,0.043473377465360966,0.04241139331610722,1.0,0.016212896676977905,0.04536688170645628,0.002955488390349059,4.152356468747326
