epoch,train_loss,val_loss,val_acc,val_regime_acc
1,1.046739177904866,1.0157238932078696,0.4729064039408867,0.5172413793103449
2,0.9599255208946782,0.9630611506588941,0.49261083743842365,0.6059113300492611
3,0.889777093637185,0.8967095363903516,0.49261083743842365,0.6896551724137931
4,0.8284943156834229,0.839631360152672,0.4827586206896552,0.7980295566502463
5,0.7703871372432842,0.7967640513857009,0.49261083743842365,0.8817733990147784
6,0.7383276016148248,0.760598122779959,0.5024630541871922,0.9261083743842364
7,0.7090120067082747,0.7401380309917657,0.5369458128078818,0.9408866995073891
8,0.70447695366951,0.7320412990494902,0.5270935960591133,0.9408866995073891
9,0.6779282483898226,0.7438301749417348,0.5221674876847291,0.9408866995073891
10,0.6887911136591462,0.740549741707412,0.5320197044334976,0.9458128078817734
11,0.6484612487518256,0.7200524025949938,0.5517241379310345,0.9605911330049262
12,0.6574541675123174,0.7398899896391506,0.5517241379310345,0.9704433497536946
13,0.6368276895628042,0.7200043677109216,0.5467980295566502,0.9655172413793104
14,0.6414827885895759,0.7476974728659456,0.5812807881773399,0.9704433497536946
15,0.6120145171531749,0.7504807798733265,0.5615763546798029,0.9605911330049262
16,0.6178775629338392,0.7481051618829736,0.5467980295566502,0.9655172413793104
17,0.6031235330836276,0.7567023232652637,0.5615763546798029,0.9655172413793104
18,0.5806854480323523,0.7688607814276747,0.5615763546798029,0.9655172413793104
19,0.5747071575783455,0.7597781598861582,0.5665024630541872,0.9655172413793104
20,0.5691082887962217,0.7625602075619063,0.5862068965517241,0.9704433497536946
21,0.5406368304331911,0.8120999829522495,0.5911330049261084,0.9753694581280788
