epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9515779845854815,0.927453604758595,0.416289592760181,0.6244343891402715
2,0.8224344344062601,0.8358175034436705,0.6108597285067874,0.6742081447963801
3,0.7684567411953115,0.7986331482278816,0.5294117647058824,0.8778280542986425
4,0.7260271597673549,0.7743931555640104,0.5972850678733032,0.9004524886877828
5,0.711908188605691,0.7614129894998818,0.583710407239819,0.9457013574660633
6,0.6901176821101795,0.749358956360709,0.5429864253393665,0.9638009049773756
7,0.6908557493418933,0.736564767846155,0.5701357466063348,0.9638009049773756
8,0.6669164472722752,0.740067029970264,0.6334841628959276,0.9683257918552036
9,0.6623266666968238,0.7274795320239003,0.5701357466063348,0.9773755656108597
10,0.6436060445831421,0.730347300546741,0.5294117647058824,0.9819004524886877
11,0.638666158691447,0.7438858051645271,0.4796380090497738,0.9819004524886877
12,0.6209580946096125,0.7367185632028191,0.5384615384615384,0.995475113122172
13,0.6179126654716737,0.7335990284363069,0.5565610859728507,0.995475113122172
14,0.6049651954900772,0.7517642610752744,0.4841628959276018,0.9909502262443439
15,0.6016729531441143,0.7695543763324686,0.5248868778280543,0.9909502262443439
16,0.5820108515693542,0.7587272209279677,0.5339366515837104,0.9909502262443439
17,0.5734719616844055,0.7644602594332458,0.5384615384615384,0.995475113122172
