event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
silence_day,233,-0.008216356153549702,-0.007901705334542097,0.024771986129009466,0.3521739130434783,0.6434782608695652,short,0.6434782608695652,0.08070326331665323
has_attack&short_posts,298,-0.005923663306409913,-0.006288985483401954,0.019703849137398265,0.2684563758389262,0.7114093959731543,short,0.7114093959731543,0.07274750360062489
posts_low,428,-0.005311478461518942,-0.005473648874383175,0.024540703942311455,0.3811764705882353,0.6141176470588235,short,0.6141176470588235,0.06748214621363194
silence_day&volume_drop,147,-0.008556606949135211,-0.008103707005699068,0.026760872619910368,0.36054421768707484,0.6326530612244898,short,0.6326530612244898,0.06563354532361035
volume_drop,329,-0.0058445890611234395,-0.0055299923969748255,0.020637768049247336,0.3768996960486322,0.6139817629179332,short,0.6139817629179332,0.06508897033864358
has_attack&has_exclamation,618,-0.004071244981084643,-0.004487677370617282,0.017763072695626318,0.3333333333333333,0.6407766990291263,short,0.6407766990291263,0.06485271834852094
posts_very_high&deal_over_tariff,115,-0.008265433326913946,-0.0076923006385030135,0.02251822959863175,0.25217391304347825,0.7217391304347827,short,0.7217391304347827,0.063972717452157
posts_low&volume_drop,226,-0.006791449872585569,-0.005854546624813106,0.02296230187912465,0.3805309734513274,0.6106194690265486,short,0.6106194690265486,0.062342952525375944
posts_very_high&has_attack,201,-0.006294165297500207,-0.006656815794426341,0.02195015200666635,0.2835820895522388,0.681592039800995,short,0.681592039800995,0.06082199800371108
has_deal&short_posts,165,-0.006560524148240438,-0.007256852665689428,0.02043873723034513,0.2787878787878788,0.696969696969697,short,0.696969696969697,0.058734652909340594
posts_very_high&has_deal,133,-0.007306510209414923,-0.006993071618176638,0.02148887074154646,0.2932330827067669,0.6842105263157895,short,0.6842105263157895,0.05765348538962236
posts_very_high&positive_heavy,209,-0.006021522948237822,-0.0063492305695065365,0.021997108504992945,0.3014354066985646,0.6602870813397129,short,0.6602870813397129,0.05747940834560675
deal_heavy&short_posts,62,-0.009555402766237288,-0.007848815008756393,0.02565935351667072,0.22580645161290322,0.7580645161290323,short,0.7580645161290323,0.057036256147955045
has_attack&has_all_caps,145,-0.006575020197377242,-0.007705492314756812,0.021694754959442206,0.2620689655172414,0.7103448275862069,short,0.7103448275862069,0.05624064785594019
short_posts&deal_only,144,-0.006783143926335356,-0.0067035137601215156,0.019989583011447366,0.2847222222222222,0.6875,short,0.6875,0.055960937392266694
posts_very_high&deal_only,93,-0.008121084947055778,-0.006993071618176638,0.023283708880960666,0.27956989247311825,0.6989247311827957,short,0.6989247311827957,0.05473762319284504
has_attack&deal_over_tariff,231,-0.005453176399248125,-0.0053583336952992555,0.01919580690323579,0.3246753246753247,0.645021645021645,short,0.645021645021645,0.053460107156518714
posts_high&has_attack,340,-0.004527490051866148,-0.004972678338973302,0.020092414038786192,0.3264705882352941,0.6352941176470588,short,0.6352941176470588,0.05303612644491968
deal_heavy&deal_only,91,-0.0077759334720811715,-0.007530077545644498,0.023314014854983592,0.27472527472527475,0.7142857142857143,short,0.7142857142857143,0.05298405547591721
has_positive&short_posts,434,-0.003793539080567089,-0.005211699598594022,0.020472489683504878,0.31797235023041476,0.663594470046083,short,0.663594470046083,0.052443562470610466
posts_very_high&deal_heavy,75,-0.008368991413957428,-0.006993071618176638,0.02513262634196987,0.26666666666666666,0.7066666666666667,short,0.7066666666666667,0.051217498124356275
short_posts,545,-0.0033602720205631502,-0.004744953784695416,0.022041225466235555,0.3394495412844037,0.6440366972477064,short,0.6440366972477064,0.05052232184398767
posts_very_high&china_streak_3d,28,-0.011506214504322182,-0.01046991499239186,0.027249556019315162,0.17857142857142858,0.8214285714285714,short,0.8214285714285714,0.050012813466758496
lots_of_excl&short_posts,366,-0.0038576218817680612,-0.005355367535094913,0.02170482144854275,0.30327868852459017,0.6775956284153005,short,0.6775956284153005,0.050006999232023355
has_attack&positive_heavy,459,-0.0036893637812257444,-0.004507920189714576,0.018952404077446323,0.3355119825708061,0.6318082788671024,short,0.6318082788671024,0.04993937871398525
has_action&deal_only,70,-0.00851485561286625,-0.00493655667527515,0.02186354464641843,0.2714285714285714,0.7,short,0.7,0.04986827526096149
has_positive,871,-0.0027359072770189586,-0.0039588432527163375,0.01862761561431154,0.36739380022962115,0.6119402985074627,short,0.6119402985074627,0.04941052928717755
has_deal&has_attack,263,-0.004829470324209844,-0.004975158999091178,0.018583983162401542,0.34600760456273766,0.6273764258555133,short,0.6273764258555133,0.04913665312199536
exclamation_heavy&short_posts,413,-0.003639357248540686,-0.004970197678855426,0.020891040392586636,0.3220338983050847,0.6585956416464891,short,0.6585956416464891,0.048710049098844646
has_attack&has_uppercase_phrase,214,-0.005101388197239107,-0.0050321265653145986,0.020709247962033082,0.3177570093457944,0.6495327102803738,short,0.6495327102803738,0.048472596800920954
has_attack&deal_only,196,-0.005424386933015352,-0.004678411502690771,0.019373011553177635,0.33163265306122447,0.6377551020408163,short,0.6377551020408163,0.048432026187637076
deal_heavy&has_attack,117,-0.006682015124278097,-0.006993071618176638,0.022646692346564055,0.3162393162393162,0.6666666666666666,short,0.6666666666666666,0.04818469630802112
has_positive&has_night_post,778,-0.002748675703593872,-0.004107609402207391,0.01872699100514705,0.35861182519280205,0.6182519280205655,short,0.6182519280205655,0.047400048000873156
has_night_post&deal_only,244,-0.004680364356072838,-0.005087500669797795,0.019963763483256926,0.3319672131147541,0.639344262295082,short,0.639344262295082,0.04674222142985491
has_action&has_attack,146,-0.005735712842361825,-0.00493655667527515,0.022500477596362076,0.3150684931506849,0.6712328767123288,short,0.6712328767123288,0.046519715291974545
has_action&deal_over_tariff,87,-0.007197434533614183,-0.005300306321546766,0.022248600234442254,0.28735632183908044,0.6896551724137931,short,0.6896551724137931,0.046298758692973105
deal_heavy&deal_over_tariff,135,-0.0058969584191705055,-0.007530077545644498,0.022556370072350687,0.3111111111111111,0.674074074074074,short,0.674074074074074,0.04618517287368829
has_attack&has_china,228,-0.004566087490773967,-0.005178909127980746,0.019287300247574295,0.31140350877192985,0.6622807017543859,short,0.6622807017543859,0.045661876231736405
pre_deal&short_posts,69,-0.007569463700566992,-0.0067502117258166905,0.019615953491062904,0.2463768115942029,0.7246376811594203,short,0.7246376811594203,0.04556281724972603
attack_heavy&exclamation_heavy,283,-0.004300714161832763,-0.00515467507276457,0.017231218389293403,0.33568904593639576,0.6289752650176679,short,0.6289752650176679,0.045505863897753275
has_exclamation&short_posts,489,-0.003130268372916989,-0.004744953784695416,0.022562032682011773,0.3333333333333333,0.6482617586912065,short,0.6482617586912065,0.044873134376534195
has_all_caps&exclamation_heavy,178,-0.004923511103687871,-0.006460467542395432,0.02201871362584504,0.29775280898876405,0.6797752808988764,short,0.6797752808988764,0.044652963879378275
has_night_post&deal_over_tariff,284,-0.004186025606550772,-0.00528451522298512,0.02015483989026065,0.3415492957746479,0.6302816901408451,short,0.6302816901408451,0.04446269077472909
has_night_post&short_posts,456,-0.003163133329390024,-0.005008519726298066,0.022989854548256704,0.3267543859649123,0.6535087719298246,short,0.6535087719298246,0.044141932367073144
lots_of_excl,749,-0.002599995936435417,-0.004019231410537283,0.01919792287198764,0.36181575433911883,0.6154873164218959,short,0.6154873164218959,0.043795822378833386
has_deal&has_action,101,-0.006568113368830998,-0.005268724124423474,0.021105916724389495,0.31683168316831684,0.6633663366336634,short,0.6633663366336634,0.04378796437906515
deal_heavy&open_deal,50,-0.00905034894804777,-0.006200330946256605,0.026265965628463884,0.3,0.68,short,0.68,0.043517029170229996
posts_very_high&has_russia,118,-0.005823055516494849,-0.007159507055515102,0.01860583552414373,0.2796610169491525,0.6864406779661016,short,0.6864406779661016,0.043420512567493554
posts_high&attack_heavy,231,-0.004384353963121026,-0.005300306321546766,0.01805626198658036,0.3203463203463203,0.6363636363636364,short,0.6363636363636364,0.04240498888368418
open_deal&short_posts,42,-0.009148390313270135,-0.006503023181966439,0.030582245641518773,0.2619047619047619,0.7142857142857143,short,0.7142857142857143,0.04234881816295
posts_high&deal_over_tariff,192,-0.00485092263613918,-0.005309725099236273,0.022485317708483492,0.3385416666666667,0.625,short,0.625,0.04201022234689507
has_deal&has_night_post,325,-0.0037510654462255075,-0.00489238644114065,0.019326632708695758,0.3569230769230769,0.6184615384615385,short,0.6184615384615385,0.041822406455406816
posts_very_high&open_deal,44,-0.008940569690999335,-0.0067035137601215156,0.02891125325913136,0.2727272727272727,0.7045454545454546,short,0.7045454545454546,0.04178308942677836
has_action&open_deal,30,-0.010378138418929206,-0.00604379757675777,0.0284347252329896,0.26666666666666666,0.7333333333333333,short,0.7333333333333333,0.041685163791029184
attack_heavy&has_russia,146,-0.0054159197857008715,-0.005722927673835421,0.016588585289787065,0.3219178082191781,0.636986301369863,short,0.636986301369863,0.04168489809365028
posts_very_high&attack_heavy,158,-0.004931165593281922,-0.006316475533460153,0.019676440181747648,0.2911392405063291,0.6708860759493671,short,0.6708860759493671,0.04158406189644899
posts_high&deal_only,157,-0.005262148742240949,-0.0046083123481044375,0.022813081148886256,0.3375796178343949,0.6242038216560509,short,0.6242038216560509,0.041156588573942894
posts_very_high&has_action,96,-0.006225538437728789,-0.005518242042125365,0.02537102028623149,0.3125,0.6666666666666666,short,0.6666666666666666,0.04066504679071754
has_russia&volume_spike,84,-0.00640581703420311,-0.0055049919532568214,0.018514949452835633,0.2619047619047619,0.6904761904761905,short,0.6904761904761905,0.04053805247480595
lots_of_excl&deal_over_tariff,283,-0.0038875647520449108,-0.004744953784695416,0.020132627351388595,0.35335689045936397,0.6183745583038869,short,0.6183745583038869,0.040441054073878394
deal_heavy&has_russia,64,-0.006867647807166992,-0.008904807501511514,0.021026493283331685,0.25,0.734375,short,0.734375,0.04034743086710608
posts_very_high&short_posts,155,-0.004860332640216864,-0.0062837204974137695,0.024629219593153874,0.3032258064516129,0.6645161290322581,short,0.6645161290322581,0.04021030515163437
lots_of_excl&deal_only,241,-0.004161008889280172,-0.004474233156233742,0.020137631076721122,0.34854771784232363,0.6224066390041494,short,0.6224066390041494,0.04020512172813876
has_russia&has_night_post,263,-0.00376567140621847,-0.00515467507276457,0.01712721864843923,0.30798479087452474,0.6577946768060836,short,0.6577946768060836,0.04017081560934833
exclamation_heavy,826,-0.0023112363387833962,-0.0037936410908295803,0.01881511217394195,0.37409200968523004,0.6041162227602905,short,0.6041162227602905,0.04012868045362389
posts_high&has_deal,223,-0.004352260832194598,-0.00489238644114065,0.02131071373152033,0.3542600896860987,0.6143497757847534,short,0.6143497757847534,0.039928505074693615
posts_very_high&has_china,130,-0.005338618274032027,-0.006871641671996664,0.02280064294470363,0.3153846153846154,0.6538461538461539,short,0.6538461538461539,0.03979936273870014
posts_high&deal_heavy,109,-0.006010879918320615,-0.006051431323006673,0.023391571573957444,0.3486238532110092,0.6330275229357798,short,0.6330275229357798,0.03972591360322062
has_russia&pre_action,32,-0.009284774876130712,-0.011015466978909372,0.02232772022741322,0.25,0.75,short,0.75,0.03939196366021508
deal_heavy&has_positive,143,-0.0050973219770835375,-0.006656815794426341,0.02219057345683394,0.34265734265734266,0.6433566433566433,short,0.6433566433566433,0.03921587193708083
has_deal&attack_heavy,159,-0.004788143158352006,-0.005268724124423474,0.016522533238316473,0.32075471698113206,0.6477987421383647,short,0.6477987421383647,0.039111618601078375
attack_heavy&deal_over_tariff,138,-0.00504179945660207,-0.005491274882176267,0.017148834821413498,0.30434782608695654,0.6594202898550725,short,0.6594202898550725,0.03905596889929664
has_attack&sig_potus,50,-0.007427002591655863,-0.006871641671996664,0.014931523162634514,0.2,0.74,short,0.74,0.038862460833729434
deal_over_tariff&volume_spike,68,-0.006675375321568151,-0.0060427041661052505,0.019611069832698703,0.2647058823529412,0.7058823529411765,short,0.7058823529411765,0.03885639182324745
has_deal&has_russia,136,-0.004919254616717884,-0.006009949130058867,0.01759303841396075,0.2867647058823529,0.6764705882352942,short,0.6764705882352942,0.0388076795092521
has_russia&deal_over_tariff,117,-0.0052395805122228195,-0.006993071618176638,0.018505283132771173,0.27350427350427353,0.6837606837606838,short,0.6837606837606838,0.03875195117690513
has_attack&has_russia,246,-0.003826399968216742,-0.005051659282473031,0.01752953727820127,0.3252032520325203,0.6382113821138211,short,0.6382113821138211,0.03830208917924029
short_posts&china_streak_3d,44,-0.0078778861527173,-0.008181417737152585,0.022929039435085043,0.2727272727272727,0.7272727272727273,short,0.7272727272727273,0.03800435274138141
has_action&short_posts,103,-0.005340687266422116,-0.006036163830508867,0.026708538165342424,0.2815533980582524,0.6990291262135923,short,0.6990291262135923,0.037888815809699536
has_deal&lots_of_excl,324,-0.003461307016413396,-0.00454127275216909,0.019288110521497516,0.36728395061728397,0.6080246913580247,short,0.6080246913580247,0.03788208234630217
