epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9867247399891185,0.9286774409060575,0.4897959183673469,0.6326530612244898
2,0.8598321797013412,0.8808250062319697,0.5306122448979592,0.6479591836734694
3,0.8125195166142506,0.8583964328376614,0.5510204081632653,0.7193877551020408
4,0.7884246748937688,0.8614831943901218,0.5612244897959183,0.7244897959183674
5,0.7705624171997847,0.8531417433096438,0.5255102040816326,0.7193877551020408
6,0.7463709542190783,0.8623220482651068,0.5,0.7551020408163265
7,0.7239015078492955,0.8882666315351214,0.576530612244898,0.7602040816326531
8,0.7035318263044595,0.9100022997174945,0.5051020408163265,0.75
9,0.6809698497616199,0.8930130965855657,0.5102040816326531,0.7653061224489796
10,0.6726145701702858,0.9608781872963419,0.5204081632653061,0.7602040816326531
11,0.6670646866377875,0.9492628878476669,0.5459183673469388,0.7295918367346939
12,0.6235899264608405,0.9681470856374624,0.5153061224489796,0.7602040816326531
13,0.609663832355553,0.9575016462073034,0.5663265306122449,0.7551020408163265
