epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.996088882787857,0.9192937003241645,0.37777777777777777,0.6666666666666666
2,0.8935329767855992,0.8587569700347053,0.5277777777777778,0.7444444444444445
3,0.8530850633081183,0.8766790919833714,0.34444444444444444,0.7222222222222222
4,0.8305669093314816,0.8751418206426832,0.5,0.7555555555555555
5,0.8042078416423234,0.9315205547544692,0.3611111111111111,0.7555555555555555
6,0.8009942924728268,0.8625991847780016,0.5444444444444444,0.7833333333333333
7,0.7795651112433201,0.9116746425628662,0.4888888888888889,0.7666666666666667
8,0.7473191978636342,0.9102607753541735,0.5444444444444444,0.7888888888888889
9,0.7380487507562126,0.9612297455469767,0.49444444444444446,0.7888888888888889
10,0.7076718421389735,0.9186151345570882,0.5055555555555555,0.7722222222222223
