epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9788522562939367,0.9166390858198467,0.3736842105263158,0.6947368421052632
2,0.8593894875410831,0.8482124893288864,0.5947368421052631,0.7526315789473684
3,0.8311484445741166,0.8391118501362048,0.6105263157894737,0.7578947368421053
4,0.8062838075996993,0.8332075972306101,0.5473684210526316,0.7473684210526316
5,0.7952268531312158,0.8294964671134949,0.5842105263157895,0.7631578947368421
6,0.7882584325678936,0.8382112270907351,0.5736842105263158,0.7684210526315789
7,0.7755458166588952,0.8400500278723867,0.531578947368421,0.7684210526315789
8,0.7635085701426386,0.8622890378299513,0.5,0.7947368421052632
9,0.7367312149568037,0.9043797574545208,0.48947368421052634,0.7736842105263158
10,0.7109583611096139,0.9096415984003168,0.45789473684210524,0.7631578947368421
11,0.7060537787226887,0.9353333272432026,0.4052631578947368,0.7631578947368421
12,0.6873363207429002,0.9470240643149928,0.4421052631578947,0.7684210526315789
13,0.6625637850720129,1.0373695034729806,0.5210526315789473,0.7736842105263158
