epoch,train_loss,val_loss,val_acc,val_regime_acc
1,0.9825625081750798,0.941627701213457,0.5113122171945701,0.5067873303167421
2,0.8876748565684028,0.8630305720130782,0.5113122171945701,0.746606334841629
3,0.8115843201703566,0.8063645840230571,0.5429864253393665,0.8099547511312217
4,0.7530550105686493,0.7670309406060439,0.5339366515837104,0.8371040723981901
5,0.7126620571881055,0.7389524476560532,0.5746606334841629,0.918552036199095
6,0.6879902408084767,0.7332842530707968,0.5701357466063348,0.9457013574660633
7,0.6528720385888044,0.7192889149911803,0.5475113122171946,0.9683257918552036
8,0.6314379530156997,0.7332580445578735,0.5565610859728507,0.9728506787330317
9,0.6189488073721289,0.7585448115659515,0.579185520361991,0.9819004524886877
10,0.5869628535872474,0.7426293772809646,0.5339366515837104,0.9819004524886877
11,0.5881327562791141,0.771628724773545,0.5656108597285068,0.9909502262443439
12,0.5680608114456748,0.7683900066090925,0.5746606334841629,0.9864253393665159
13,0.5573103296565499,0.7576500913676094,0.583710407239819,0.9909502262443439
14,0.5323207843112435,0.8212467601935788,0.5927601809954751,0.9819004524886877
15,0.5307088735906835,0.819252825970024,0.5339366515837104,0.9864253393665159
